@RELATION training_keyboard

@ATTRIBUTE positionX NUMERIC
@ATTRIBUTE positionY NUMERIC
@ATTRIBUTE numGhosts NUMERIC
@ATTRIBUTE alive1 {True, False}
@ATTRIBUTE alive2 {True, False}
@ATTRIBUTE alive3 {True, False}
@ATTRIBUTE alive4 {True, False}
@ATTRIBUTE position1X NUMERIC
@ATTRIBUTE position1Y NUMERIC
@ATTRIBUTE position2X NUMERIC
@ATTRIBUTE position2Y NUMERIC
@ATTRIBUTE position3X NUMERIC
@ATTRIBUTE position3Y NUMERIC
@ATTRIBUTE position4X NUMERIC
@ATTRIBUTE position4Y NUMERIC
@ATTRIBUTE distance1 NUMERIC
@ATTRIBUTE distance2 NUMERIC
@ATTRIBUTE distance3 NUMERIC
@ATTRIBUTE distance4 NUMERIC
@ATTRIBUTE distanceNearestFood NUMERIC
@ATTRIBUTE actualScore NUMERIC
@ATTRIBUTE foodCount NUMERIC
@ATTRIBUTE movement {Stop, South, East, West, North}
@ATTRIBUTE nextScore NUMERIC
@ATTRIBUTE nextNumGhost NUMERIC
@ATTRIBUTE nextFoodCount NUMERIC

@data
7,13,3,True,True,True,False,5,6,5,12,13,6,7,1,9,3,13,-1,15,185,1,West,184,3,1
6,13,3,True,True,True,False,5,6,5,12,13,6,7,1,8,2,14,-1,16,184,1,West,183,3,1
5,13,3,True,True,True,False,5,6,5,12,13,6,7,1,7,1,15,-1,17,183,1,West,382,2,1
5,12,2,True,False,True,False,5,6,3,1,13,6,7,1,6,-1,14,-1,16,382,1,South,381,2,1
5,11,2,True,False,True,False,5,6,3,1,13,6,7,1,5,-1,13,-1,15,381,1,South,380,2,1
6,11,2,True,False,True,False,5,6,3,1,13,6,7,1,6,-1,12,-1,14,380,1,East,379,2,1
7,11,2,True,False,True,False,5,6,3,1,13,6,7,1,7,-1,11,-1,13,379,1,East,378,2,1
7,10,2,True,False,True,False,5,6,3,1,13,6,7,1,6,-1,10,-1,12,378,1,South,377,2,1
7,9,2,True,False,True,False,5,6,3,1,13,6,7,1,5,-1,9,-1,11,377,1,South,376,2,1
7,8,2,True,False,True,False,5,6,3,1,13,6,7,1,4,-1,8,-1,12,376,1,South,375,2,1
7,7,2,True,False,True,False,5,6,3,1,13,6,7,1,3,-1,7,-1,13,375,1,South,374,2,1
6,7,2,True,False,True,False,5,6,3,1,13,6,7,1,2,-1,8,-1,14,374,1,West,373,2,1
5,7,2,True,False,True,False,5,6,3,1,13,6,7,1,1,-1,9,-1,15,373,1,West,572,1,1
5,6,1,False,False,True,False,1,1,3,1,13,6,7,1,-1,-1,8,-1,16,572,1,South,571,1,1
5,5,1,False,False,True,False,1,1,3,1,13,6,7,1,-1,-1,9,-1,17,571,1,South,570,1,1
6,5,1,False,False,True,False,1,1,3,1,13,6,7,1,-1,-1,8,-1,16,570,1,East,569,1,1
7,5,1,False,False,True,False,1,1,3,1,13,6,7,1,-1,-1,7,-1,15,569,1,East,568,1,1
8,5,1,False,False,True,False,1,1,3,1,13,6,7,1,-1,-1,6,-1,14,568,1,East,567,1,1
9,5,1,False,False,True,False,1,1,3,1,13,6,7,1,-1,-1,5,-1,13,567,1,East,566,1,1
10,5,1,False,False,True,False,1,1,3,1,13,6,7,1,-1,-1,4,-1,12,566,1,East,565,1,1
11,5,1,False,False,True,False,1,1,3,1,13,6,7,1,-1,-1,3,-1,11,565,1,East,564,1,1
12,5,1,False,False,True,False,1,1,3,1,13,6,7,1,-1,-1,2,-1,10,564,1,East,563,1,1
13,5,1,False,False,True,False,1,1,3,1,13,6,7,1,-1,-1,1,-1,9,563,1,East,762,0,1
13,6,0,False,False,False,False,1,1,3,1,13,6,7,1,-1,-1,-1,-1,8,762,1,North,762,0,1
4,12,4,True,True,True,True,9,4,11,8,19,12,22,9,13,11,15,22,2,-1,121,Stop,-2,4,121
4,12,4,True,True,True,True,9,4,10,8,19,12,22,8,13,10,15,21,2,-2,121,Stop,-3,4,121
5,12,4,True,True,True,True,9,3,10,7,19,12,21,8,13,10,14,19,1,-3,121,East,-4,4,121
6,12,4,True,True,True,True,8,3,10,7,18,12,21,9,11,9,12,19,1,-4,121,East,95,4,120
7,12,4,True,True,True,True,7,3,10,7,19,12,21,8,9,8,12,17,1,95,120,East,194,4,119
7,11,4,True,True,True,True,6,3,10,8,19,12,20,8,9,6,13,15,1,194,119,South,293,4,118
7,10,4,True,True,True,True,6,4,11,8,20,12,20,9,7,6,15,13,1,293,118,South,392,4,117
7,9,4,True,True,True,True,6,4,10,8,20,12,19,9,6,4,16,12,1,392,117,South,491,4,116
7,8,4,True,True,True,True,6,4,10,8,19,12,19,9,5,3,16,13,1,491,116,South,590,4,115
7,7,4,True,True,True,True,6,4,10,8,19,12,19,9,4,4,17,15,1,590,115,South,689,4,114
7,6,4,True,True,True,True,7,4,10,7,19,11,19,10,2,4,17,15,1,689,114,South,788,4,113
7,5,4,True,True,True,True,7,4,10,8,19,12,19,9,1,6,19,16,1,788,113,South,1087,3,112
7,4,3,False,True,True,True,1,1,11,8,20,12,19,9,-1,8,21,18,1,1087,112,South,1186,3,111
7,3,3,False,True,True,True,1,1,11,8,20,12,19,10,-1,9,22,19,1,1186,111,South,1285,3,110
8,3,3,False,True,True,True,1,1,11,9,20,11,19,10,-1,9,20,19,2,1285,110,East,1284,3,110
9,3,3,False,True,True,True,1,1,10,9,20,10,20,10,-1,7,18,19,1,1284,110,East,1383,3,109
10,3,3,False,True,True,True,1,1,10,8,21,10,21,10,-1,5,18,19,1,1383,109,East,1482,3,108
10,4,3,False,True,True,True,1,1,11,8,22,10,21,11,-1,5,18,17,1,1482,108,North,1581,3,107
10,5,3,False,True,True,True,1,1,11,9,22,11,20,11,-1,5,18,15,1,1581,107,North,1680,3,106
10,6,3,False,True,True,True,1,1,10,9,22,11,19,11,-1,3,17,14,1,1680,106,North,1779,3,105
10,7,3,False,True,True,True,1,1,10,9,23,11,19,11,-1,2,17,14,1,1779,105,North,1878,3,104
10,8,3,False,True,True,True,1,1,9,9,23,10,20,11,-1,2,15,12,1,1878,104,North,1977,3,103
10,9,3,False,True,True,True,1,1,9,10,23,10,19,11,-1,2,14,11,1,1977,103,North,2076,3,102
10,10,3,False,True,True,True,1,1,9,11,22,10,19,11,-1,2,12,10,1,2076,102,North,2075,3,102
9,10,3,False,True,True,True,1,1,8,11,23,10,19,11,-1,2,14,12,1,2075,102,West,2074,3,102
8,10,3,False,True,True,True,1,1,7,11,22,10,19,12,-1,2,14,12,1,2074,102,West,2073,3,102
8,11,3,False,True,True,True,1,1,7,12,21,10,18,12,-1,2,14,11,1,2073,102,North,2172,3,101
8,12,3,False,True,True,True,1,1,6,12,22,10,18,12,-1,2,16,11,1,2172,101,North,2171,3,101
7,12,3,False,True,True,True,1,1,5,12,22,11,18,11,-1,2,16,13,2,2171,101,West,2370,2,101
6,12,2,False,False,True,True,1,1,3,1,22,10,19,11,-1,-1,18,14,1,2370,101,West,2369,2,101
5,12,2,False,False,True,True,1,1,3,1,22,9,19,11,-1,-1,20,14,1,2369,101,West,2368,2,101
4,12,2,False,False,True,True,1,1,3,1,23,9,18,11,-1,-1,22,16,2,2368,101,West,2367,2,101
5,12,2,False,False,True,True,1,1,3,1,23,9,19,11,-1,-1,21,16,1,2367,101,East,2366,2,101
6,12,2,False,False,True,True,1,1,3,1,22,9,19,10,-1,-1,19,16,1,2366,101,East,2365,2,101
7,12,2,False,False,True,True,1,1,3,1,21,9,19,9,-1,-1,17,16,2,2365,101,East,2364,2,101
8,12,2,False,False,True,True,1,1,3,1,21,9,20,9,-1,-1,16,14,1,2364,101,East,2463,2,100
9,12,2,False,False,True,True,1,1,3,1,21,9,20,10,-1,-1,15,12,1,2463,100,East,2562,2,99
