@relation training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-26

@attribute positionX numeric
@attribute positionY numeric
@attribute numGhosts numeric
@attribute alive1 {True,False}
@attribute alive2 {True,False}
@attribute alive3 {True,False}
@attribute alive4 {True,False}
@attribute position1X numeric
@attribute position1Y numeric
@attribute position2X numeric
@attribute position2Y numeric
@attribute position3X numeric
@attribute position3Y numeric
@attribute position4X numeric
@attribute position4Y numeric
@attribute distance1 numeric
@attribute distance2 numeric
@attribute distance3 numeric
@attribute distance4 numeric
@attribute distanceNearestFood numeric
@attribute actualScore numeric
@attribute foodCount numeric
@attribute movement {Stop,South,East,West,North}

@data
16,14,3,True,True,True,False,6,7,12,10,9,10,7,1,17,8,11,-1,7,172,1,East
17,14,3,True,True,True,False,5,7,13,10,9,10,7,1,19,8,12,-1,6,171,1,East
18,14,3,True,True,True,False,6,7,13,9,9,11,7,1,19,10,12,-1,5,170,1,East
18,13,3,True,True,True,False,6,7,12,9,9,12,7,1,18,10,10,-1,4,169,1,South
18,12,3,True,True,True,False,6,7,13,9,9,11,7,1,17,8,10,-1,3,168,1,South
18,11,3,True,True,True,False,6,6,14,9,9,12,7,1,17,6,10,-1,2,167,1,South
18,10,3,True,True,True,False,6,6,14,8,9,13,7,1,16,6,12,-1,1,166,1,South
18,9,3,True,True,True,False,7,6,14,9,8,13,7,1,14,4,14,-1,-1,265,0,South
18,8,3,True,True,True,False,6,6,14,10,8,12,7,1,14,6,14,-1,-1,264,0,South
18,7,3,True,True,True,False,6,7,14,10,8,11,7,1,12,7,14,-1,-1,263,0,South
17,7,3,True,True,True,False,7,7,14,11,7,11,7,1,10,7,14,-1,-1,262,0,West
16,7,3,True,True,True,False,8,7,14,10,6,11,7,1,8,5,14,-1,-1,261,0,West
15,7,3,True,True,True,False,8,8,14,11,6,10,7,1,8,5,12,-1,-1,260,0,West
14,7,3,True,True,True,False,8,9,15,11,6,9,7,1,8,5,10,-1,-1,259,0,West
14,8,3,True,True,True,False,8,10,15,12,6,8,7,1,8,5,8,-1,-1,258,0,North
14,9,3,True,True,True,False,8,9,15,12,6,8,7,1,6,4,9,-1,-1,257,0,North
14,10,3,True,True,True,False,8,10,15,11,6,9,7,1,6,2,9,-1,-1,256,0,North
14,11,3,True,True,True,False,8,10,15,11,6,9,7,1,7,1,10,-1,-1,255,0,North
14,12,3,True,True,True,False,8,10,15,10,7,9,7,1,8,3,10,-1,-1,254,0,North
15,12,3,True,True,True,False,7,10,16,10,7,10,7,1,10,3,10,-1,-1,253,0,East
16,12,3,True,True,True,False,7,10,16,11,7,9,7,1,11,1,12,-1,-1,252,0,East
16,11,2,True,False,True,False,7,9,3,1,6,9,7,1,11,-1,12,-1,-1,451,0,South
16,10,2,True,False,True,False,7,10,3,1,6,10,7,1,9,-1,10,-1,-1,450,0,South
16,9,2,True,False,True,False,7,11,3,1,7,10,7,1,11,-1,10,-1,-1,449,0,South
15,9,2,True,False,True,False,7,11,3,1,8,10,7,1,10,-1,8,-1,-1,448,0,West
14,9,2,True,False,True,False,6,11,3,1,9,10,7,1,10,-1,6,-1,-1,447,0,West
13,9,2,True,False,True,False,6,10,3,1,9,10,7,1,8,-1,5,-1,-1,446,0,West
12,9,2,True,False,True,False,6,10,3,1,10,10,7,1,7,-1,3,-1,-1,445,0,West
11,9,2,True,False,True,False,6,9,3,1,10,9,7,1,5,-1,1,-1,-1,444,0,West
10,9,1,True,False,False,False,7,9,3,1,5,1,7,1,3,-1,-1,-1,-1,643,0,West
9,9,1,True,False,False,False,7,10,3,1,5,1,7,1,3,-1,-1,-1,-1,642,0,West
8,9,1,True,False,False,False,7,9,3,1,5,1,7,1,1,-1,-1,-1,-1,641,0,West
7,9,0,False,False,False,False,7,9,3,1,5,1,7,1,-1,-1,-1,-1,-1,840,0,West
12,10,4,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,7,-1,1,Stop
12,10,4,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,7,-2,1,Stop
12,10,4,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,7,-3,1,Stop
13,10,4,True,True,True,True,5,6,5,12,13,6,13,12,12,10,4,2,6,-4,1,East
14,10,4,True,True,True,True,5,6,5,12,13,6,13,12,13,11,5,3,5,-5,1,East
14,11,4,True,True,True,True,5,6,5,12,13,6,13,12,14,10,6,2,6,-6,1,North
14,12,4,True,True,True,True,5,6,5,12,13,6,13,12,15,9,7,1,7,-7,1,North
13,12,3,True,True,True,False,5,6,5,12,13,6,7,1,14,8,6,-1,8,192,1,West
12,12,3,True,True,True,False,5,6,5,12,13,6,7,1,13,7,7,-1,9,191,1,West
11,12,3,True,True,True,False,5,6,5,12,13,6,7,1,12,6,8,-1,10,190,1,West
10,12,3,True,True,True,False,5,6,5,12,13,6,7,1,11,5,9,-1,11,189,1,West
9,12,3,True,True,True,False,5,6,5,12,13,6,7,1,10,4,10,-1,12,188,1,West
8,12,3,True,True,True,False,5,6,5,12,13,6,7,1,9,3,11,-1,13,187,1,West
7,12,3,True,True,True,False,5,6,5,12,13,6,7,1,8,2,12,-1,14,186,1,West
6,12,3,True,True,True,False,5,6,5,12,13,6,7,1,7,1,13,-1,15,185,1,West
5,12,2,True,False,True,False,5,6,3,1,13,6,7,1,6,-1,14,-1,16,384,1,West
6,12,2,True,False,True,False,5,6,3,1,13,6,7,1,7,-1,13,-1,15,383,1,East
7,12,2,True,False,True,False,5,6,3,1,13,6,7,1,8,-1,12,-1,14,382,1,East
8,12,2,True,False,True,False,5,6,3,1,13,6,7,1,9,-1,11,-1,13,381,1,East
9,12,2,True,False,True,False,5,6,3,1,13,6,7,1,10,-1,10,-1,12,380,1,East
10,12,2,True,False,True,False,5,6,3,1,13,6,7,1,11,-1,9,-1,11,379,1,East
11,12,2,True,False,True,False,5,6,3,1,13,6,7,1,12,-1,8,-1,10,378,1,East
12,12,2,True,False,True,False,5,6,3,1,13,6,7,1,13,-1,7,-1,9,377,1,East
13,12,2,True,False,True,False,5,6,3,1,13,6,7,1,14,-1,6,-1,8,376,1,East
14,12,2,True,False,True,False,5,6,3,1,13,6,7,1,15,-1,7,-1,7,375,1,East
15,12,2,True,False,True,False,5,6,3,1,13,6,7,1,16,-1,8,-1,6,374,1,East
16,12,2,True,False,True,False,5,6,3,1,13,6,7,1,17,-1,9,-1,5,373,1,East
17,12,2,True,False,True,False,5,6,3,1,13,6,7,1,18,-1,10,-1,4,372,1,East
18,12,2,True,False,True,False,5,6,3,1,13,6,7,1,19,-1,11,-1,3,371,1,East
18,11,2,True,False,True,False,5,6,3,1,13,6,7,1,18,-1,10,-1,2,370,1,South
18,10,2,True,False,True,False,5,6,3,1,13,6,7,1,17,-1,9,-1,1,369,1,South
18,9,2,True,False,True,False,5,6,3,1,13,6,7,1,16,-1,8,-1,-1,468,0,South
18,8,2,True,False,True,False,5,6,3,1,13,6,7,1,15,-1,7,-1,-1,467,0,South
18,7,2,True,False,True,False,5,6,3,1,13,6,7,1,14,-1,6,-1,-1,466,0,South
18,6,2,True,False,True,False,5,6,3,1,13,6,7,1,13,-1,5,-1,-1,465,0,South
17,6,2,True,False,True,False,5,6,3,1,13,6,7,1,12,-1,4,-1,-1,464,0,West
16,6,2,True,False,True,False,5,6,3,1,13,6,7,1,11,-1,3,-1,-1,463,0,West
15,6,2,True,False,True,False,5,6,3,1,13,6,7,1,10,-1,2,-1,-1,462,0,West
14,6,2,True,False,True,False,5,6,3,1,13,6,7,1,9,-1,1,-1,-1,461,0,West
13,6,1,True,False,False,False,5,6,3,1,5,1,7,1,8,-1,-1,-1,-1,660,0,West
12,6,1,True,False,False,False,5,6,3,1,5,1,7,1,7,-1,-1,-1,-1,659,0,West
11,6,1,True,False,False,False,5,6,3,1,5,1,7,1,6,-1,-1,-1,-1,658,0,West
10,6,1,True,False,False,False,5,6,3,1,5,1,7,1,5,-1,-1,-1,-1,657,0,West
9,6,1,True,False,False,False,5,6,3,1,5,1,7,1,4,-1,-1,-1,-1,656,0,West
8,6,1,True,False,False,False,5,6,3,1,5,1,7,1,3,-1,-1,-1,-1,655,0,West
7,6,1,True,False,False,False,5,6,3,1,5,1,7,1,2,-1,-1,-1,-1,654,0,West
6,6,1,True,False,False,False,5,6,3,1,5,1,7,1,1,-1,-1,-1,-1,653,0,West
5,6,0,False,False,False,False,5,6,3,1,5,1,7,1,-1,-1,-1,-1,-1,852,0,West
4,12,4,True,True,True,True,9,4,10,7,20,12,22,9,13,11,16,21,2,-1,121,Stop
4,12,4,True,True,True,True,9,3,11,7,21,12,22,9,14,12,17,21,2,-2,121,Stop
4,12,4,True,True,True,True,9,3,11,6,21,12,22,9,14,13,17,20,2,-3,121,Stop
5,12,4,True,True,True,True,10,3,11,5,21,11,22,10,14,13,17,20,1,-4,121,East
6,12,4,True,True,True,True,11,3,12,5,21,10,23,10,14,13,17,18,1,-5,121,East
6,11,4,True,True,True,True,11,4,12,5,20,10,22,10,12,12,15,16,1,94,120,South
5,11,4,True,True,True,True,10,4,13,5,20,9,22,11,12,14,17,18,1,193,119,West
4,11,4,True,True,True,True,10,5,14,5,20,8,22,10,12,16,19,18,2,192,119,West
3,11,4,True,True,True,True,10,4,14,4,20,7,21,10,14,18,21,20,1,191,119,West
2,11,4,True,True,True,True,10,4,15,4,21,7,22,10,15,20,23,22,1,290,118,West
2,12,4,True,True,True,True,10,3,15,5,21,6,23,10,17,20,25,22,1,389,117,North
2,12,4,True,True,True,True,9,3,14,5,21,6,23,11,16,19,25,21,1,388,117,North
1,12,4,True,True,True,True,8,3,14,4,20,6,22,11,16,21,25,23,1,487,116,West
1,12,4,True,True,True,True,8,3,14,5,20,5,23,11,16,20,26,22,1,486,116,West
1,11,4,True,True,True,True,9,3,14,4,21,5,23,12,16,20,26,23,1,585,115,South
1,10,4,True,True,True,True,10,3,14,3,22,5,23,12,16,20,26,23,1,684,114,South
1,9,4,True,True,True,True,9,3,13,3,21,5,22,12,14,18,24,25,1,783,113,South
2,9,4,True,True,True,True,8,3,13,4,21,6,23,12,12,16,22,24,1,882,112,East
2,10,4,True,True,True,True,8,4,12,4,21,7,23,12,12,16,22,23,2,981,111,North
2,11,4,True,True,True,True,8,3,12,3,20,7,23,12,14,18,22,21,3,980,111,North
2,10,4,True,True,True,True,8,3,12,3,20,8,22,12,13,17,20,23,2,979,111,South
2,9,4,True,True,True,True,8,4,12,3,20,8,23,12,11,16,19,23,1,978,111,South
2,8,4,True,True,True,True,9,4,13,3,20,9,23,11,11,16,19,24,1,1077,110,South
2,7,4,True,True,True,True,8,4,13,4,20,10,23,11,9,14,21,24,1,1176,109,South
1,7,4,True,True,True,True,9,4,12,4,21,10,22,11,11,14,23,26,1,1275,108,West
1,6,4,True,True,True,True,9,4,12,4,21,10,22,12,10,13,24,26,1,1374,107,South
1,5,4,True,True,True,True,10,4,11,4,22,10,22,11,10,11,26,26,1,1473,106,South
1,4,4,True,True,True,True,9,4,11,4,22,9,22,10,8,10,26,28,1,1572,105,South
1,3,4,True,True,True,True,8,4,11,5,22,10,23,10,8,12,28,29,1,1671,104,South
2,3,4,True,True,True,True,8,5,11,5,22,10,23,10,8,11,27,27,1,1770,103,East
2,4,4,True,True,True,True,9,5,11,4,22,9,23,9,8,9,25,25,1,1869,102,North
2,5,4,True,True,True,True,10,5,11,3,23,9,23,8,8,11,25,23,1,1968,101,North
2,6,4,True,True,True,True,10,5,11,3,23,10,22,8,9,12,25,23,3,2067,100,North
2,7,4,True,True,True,True,10,6,12,3,23,11,23,8,9,14,25,23,2,2066,100,North
1,7,4,True,True,True,True,10,7,11,3,22,11,23,9,9,14,25,23,1,2065,100,West
1,8,4,True,True,True,True,10,8,10,3,22,12,23,8,9,14,25,21,4,2164,99,North
1,9,4,True,True,True,True,11,8,11,3,21,12,22,8,11,16,23,23,5,2163,99,North
2,9,4,True,True,True,True,11,8,12,3,21,11,23,8,10,16,21,21,4,2162,99,East
3,9,4,True,True,True,True,11,7,13,3,22,11,23,9,10,16,21,21,3,2161,99,East
4,9,4,True,True,True,True,11,7,13,3,23,11,23,10,9,15,21,19,2,2160,99,East
5,9,4,True,True,True,True,11,8,13,3,22,11,22,10,7,14,19,19,1,2159,99,East
6,9,4,True,True,True,True,11,9,13,3,23,11,23,10,5,13,19,17,1,2158,99,East
7,9,4,True,True,True,True,11,10,13,4,23,12,23,9,5,11,19,16,1,2257,98,East
8,9,4,True,True,True,True,11,9,14,4,23,11,23,9,3,11,17,16,1,2356,97,East
9,9,4,True,True,True,True,11,8,15,4,22,11,23,10,3,11,15,14,1,2455,96,East
10,9,4,True,True,True,True,11,9,15,4,23,11,23,9,1,10,15,12,1,2554,95,East
11,9,3,False,True,True,True,1,1,15,3,23,12,22,9,-1,10,15,12,1,2753,95,East
11,8,3,False,True,True,True,1,1,14,3,23,11,22,10,-1,8,15,12,1,2852,94,South
11,7,3,False,True,True,True,1,1,15,3,23,12,21,10,-1,8,17,13,1,2851,94,South
12,7,3,False,True,True,True,1,1,14,3,23,11,21,10,-1,6,15,13,1,2950,93,East
13,7,3,False,True,True,True,1,1,15,3,23,11,22,10,-1,6,14,11,2,2949,93,East
14,7,3,False,True,True,True,1,1,16,3,23,10,22,9,-1,6,12,9,1,2948,93,East
14,6,3,False,True,True,True,1,1,17,3,22,10,22,8,-1,6,12,11,2,2947,93,South
14,5,3,False,True,True,True,1,1,17,4,22,11,23,8,-1,4,14,11,1,2946,93,South
15,5,3,False,True,True,True,1,1,17,3,22,11,23,7,-1,4,13,9,1,3045,92,East
16,5,3,False,True,True,True,1,1,16,3,22,12,22,7,-1,2,13,7,1,3144,91,East
17,5,3,False,True,True,True,1,1,16,3,23,12,21,7,-1,3,13,5,1,3243,90,East
17,4,3,False,True,True,True,1,1,16,3,23,11,21,6,-1,2,13,7,1,3342,89,South
17,3,3,False,True,True,True,1,1,15,3,23,10,22,6,-1,2,13,8,1,3441,88,South
16,3,2,False,False,True,True,1,1,3,1,22,10,22,6,-1,-1,13,9,1,3640,88,West
15,3,2,False,False,True,True,1,1,3,1,22,11,22,6,-1,-1,15,11,1,3639,88,West
14,3,2,False,False,True,True,1,1,3,1,23,11,23,6,-1,-1,17,13,2,3638,88,West
15,3,2,False,False,True,True,1,1,3,1,22,11,23,7,-1,-1,15,12,1,3637,88,East
16,3,2,False,False,True,True,1,1,3,1,23,11,23,7,-1,-1,15,12,1,3636,88,East
17,3,2,False,False,True,True,1,1,3,1,22,11,23,8,-1,-1,13,10,1,3635,88,East
18,3,2,False,False,True,True,1,1,3,1,22,10,22,8,-1,-1,11,8,1,3734,87,East
19,3,2,False,False,True,True,1,1,3,1,22,11,22,7,-1,-1,11,6,1,3833,86,East
20,3,2,False,False,True,True,1,1,3,1,23,11,22,6,-1,-1,11,5,1,3932,85,East
21,3,2,False,False,True,True,1,1,3,1,22,11,22,6,-1,-1,9,3,1,3931,85,East
21,4,2,False,False,True,True,1,1,3,1,22,11,22,5,-1,-1,8,3,1,4030,84,North
21,5,2,False,False,True,True,1,1,3,1,22,10,23,5,-1,-1,6,2,1,4129,83,North
21,6,2,False,False,True,True,1,1,3,1,21,10,23,5,-1,-1,4,3,1,4128,83,North
22,6,2,False,False,True,True,1,1,3,1,21,9,23,5,-1,-1,4,2,1,4127,83,East
23,6,2,False,False,True,True,1,1,3,1,20,9,23,5,-1,-1,6,2,2,4126,83,East
23,6,2,False,False,True,True,1,1,3,1,19,9,22,5,-1,-1,7,1,2,4125,83,East
23,5,2,False,False,True,True,1,1,3,1,19,8,22,6,-1,-1,7,1,1,4124,83,South
23,4,2,False,False,True,True,1,1,3,1,18,8,23,6,-1,-1,9,3,1,4123,83,South
23,3,2,False,False,True,True,1,1,3,1,18,8,22,6,-1,-1,10,5,2,4122,83,South
23,3,2,False,False,True,True,1,1,3,1,17,8,22,7,-1,-1,11,4,2,4121,83,South
23,4,2,False,False,True,True,1,1,3,1,16,8,22,6,-1,-1,11,3,1,4120,83,North
23,5,2,False,False,True,True,1,1,3,1,16,8,22,6,-1,-1,10,1,1,4119,83,North
22,5,1,False,False,True,False,1,1,3,1,15,8,7,1,-1,-1,10,-1,1,4418,82,West
21,5,1,False,False,True,False,1,1,3,1,15,9,7,1,-1,-1,10,-1,1,4417,82,West
20,5,1,False,False,True,False,1,1,3,1,15,8,7,1,-1,-1,8,-1,1,4516,81,West
19,5,1,False,False,True,False,1,1,3,1,15,8,7,1,-1,-1,7,-1,1,4515,81,West
18,5,1,False,False,True,False,1,1,3,1,15,8,7,1,-1,-1,6,-1,1,4514,81,West
17,5,1,False,False,True,False,1,1,3,1,15,8,7,1,-1,-1,5,-1,1,4513,81,West
16,5,1,False,False,True,False,1,1,3,1,15,9,7,1,-1,-1,5,-1,1,4512,81,West
15,5,1,False,False,True,False,1,1,3,1,14,9,7,1,-1,-1,5,-1,1,4511,81,West
15,6,1,False,False,True,False,1,1,3,1,14,8,7,1,-1,-1,3,-1,1,4510,81,North
15,7,1,False,False,True,False,1,1,3,1,14,8,7,1,-1,-1,2,-1,1,4609,80,North
15,8,0,False,False,False,False,1,1,3,1,14,8,7,1,-1,-1,-1,-1,1,4908,79,North
4,12,4,True,True,True,True,9,3,11,7,19,12,22,9,14,12,15,21,2,-1,121,Stop
4,12,4,True,True,True,True,9,3,11,7,19,12,22,9,14,12,15,21,2,-2,121,Stop
5,12,4,True,True,True,True,9,3,11,7,19,12,22,9,13,11,14,20,1,-3,121,East
6,12,4,True,True,True,True,9,3,11,7,19,12,22,9,12,10,13,19,1,-4,121,East
7,12,4,True,True,True,True,9,3,11,7,19,12,22,9,11,9,12,18,1,95,120,East
7,11,4,True,True,True,True,9,3,11,7,19,12,22,9,10,8,13,17,1,194,119,South
7,10,4,True,True,True,True,9,3,11,7,19,12,22,9,9,7,14,16,1,293,118,South
7,9,4,True,True,True,True,9,3,11,7,19,12,22,9,8,6,15,15,1,392,117,South
7,8,4,True,True,True,True,9,3,11,7,19,12,22,9,7,5,16,16,1,491,116,South
7,7,4,True,True,True,True,9,3,11,7,19,12,22,9,6,4,17,17,1,590,115,South
7,6,4,True,True,True,True,9,3,11,7,19,12,22,9,5,5,18,18,1,689,114,South
7,5,4,True,True,True,True,9,3,11,7,19,12,22,9,4,6,19,19,1,788,113,South
7,4,4,True,True,True,True,9,3,11,7,19,12,22,9,3,7,20,20,1,887,112,South
7,3,4,True,True,True,True,9,3,11,7,19,12,22,9,2,8,21,21,1,986,111,South
8,3,4,True,True,True,True,9,3,11,7,19,12,22,9,1,7,20,20,2,1085,110,East
9,3,3,False,True,True,True,1,1,11,7,19,12,22,9,-1,6,19,19,1,1284,110,East
10,3,3,False,True,True,True,1,1,11,7,19,12,22,9,-1,5,18,18,1,1383,109,East
10,4,3,False,True,True,True,1,1,11,7,19,12,22,9,-1,4,17,17,1,1482,108,North
10,5,3,False,True,True,True,1,1,11,7,19,12,22,9,-1,3,16,16,1,1581,107,North
10,6,3,False,True,True,True,1,1,11,7,19,12,22,9,-1,2,15,15,1,1680,106,North
10,7,3,False,True,True,True,1,1,11,7,19,12,22,9,-1,1,14,14,1,1779,105,North
11,7,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,13,13,1,1978,105,East
12,7,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,12,12,1,2077,104,East
13,7,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,11,11,2,2076,104,East
14,7,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,10,10,1,2075,104,East
15,7,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,9,9,1,2174,103,East
16,7,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,8,8,1,2273,102,East
17,7,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,7,7,1,2372,101,East
17,8,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,6,6,1,2471,100,North
17,9,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,5,5,1,2570,99,North
17,10,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,4,6,1,2669,98,North
17,11,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,3,7,1,2768,97,North
17,12,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,2,8,1,2867,96,North
18,12,2,False,False,True,True,1,1,3,1,19,12,22,9,-1,-1,1,7,2,2966,95,East
19,12,1,False,False,False,True,1,1,3,1,5,1,22,9,-1,-1,-1,6,1,3165,95,East
20,12,1,False,False,False,True,1,1,3,1,5,1,22,9,-1,-1,-1,5,1,3264,94,East
21,12,1,False,False,False,True,1,1,3,1,5,1,22,9,-1,-1,-1,4,1,3263,94,East
22,12,1,False,False,False,True,1,1,3,1,5,1,22,9,-1,-1,-1,3,1,3262,94,East
22,11,1,False,False,False,True,1,1,3,1,5,1,22,9,-1,-1,-1,2,1,3361,93,South
22,10,1,False,False,False,True,1,1,3,1,5,1,22,9,-1,-1,-1,1,1,3460,92,South
22,9,0,False,False,False,False,1,1,3,1,5,1,22,9,-1,-1,-1,-1,1,3659,92,South
1,6,4,True,True,True,True,7,4,9,6,12,3,16,6,8,8,14,16,-1,-1,0,Stop
1,6,4,True,True,True,True,8,4,8,6,11,3,16,5,9,7,13,17,-1,-2,0,Stop
1,6,4,True,True,True,True,8,4,7,6,12,3,16,4,9,6,14,16,-1,-3,0,Stop
1,6,4,True,True,True,True,8,4,7,6,12,3,15,4,9,6,14,16,-1,-4,0,Stop
2,6,4,True,True,True,True,9,4,7,6,12,4,15,4,9,5,12,15,-1,-5,0,East
3,6,4,True,True,True,True,9,3,8,6,12,3,15,4,9,5,12,15,-1,-6,0,East
4,6,4,True,True,True,True,8,3,9,6,11,3,16,4,7,5,10,14,-1,-7,0,East
5,6,4,True,True,True,True,9,3,9,6,11,3,16,4,7,4,9,14,-1,-8,0,East
6,6,4,True,True,True,True,10,3,10,6,10,3,16,3,7,4,7,14,-1,-9,0,East
7,6,4,True,True,True,True,9,3,10,6,10,3,17,3,5,3,6,12,-1,-10,0,East
7,5,4,True,True,True,True,9,3,10,6,9,3,16,3,4,4,4,10,-1,-11,0,South
7,4,4,True,True,True,True,9,3,10,6,9,3,15,3,3,5,3,8,-1,-12,0,South
7,3,4,True,True,True,True,9,3,9,6,8,3,15,4,2,5,1,10,-1,-13,0,South
8,3,3,True,True,False,True,10,3,10,6,5,1,16,4,2,5,-1,8,-1,186,0,East
9,3,3,True,True,False,True,10,4,9,6,5,1,16,3,2,3,-1,8,-1,185,0,East
10,3,3,True,True,False,True,9,4,8,6,5,1,16,4,2,5,-1,8,-1,184,0,East
11,3,3,True,True,False,True,9,4,7,6,5,1,16,5,3,7,-1,8,-1,183,0,East
12,3,3,True,True,False,True,9,3,7,6,5,1,16,6,3,8,-1,6,-1,182,0,East
13,3,3,True,True,False,True,8,3,7,5,5,1,15,6,5,8,-1,4,-1,181,0,East
14,3,3,True,True,False,True,8,4,7,5,5,1,14,6,7,9,-1,4,-1,180,0,East
13,3,3,True,True,False,True,9,4,7,4,5,1,13,6,5,7,-1,4,-1,179,0,West
12,3,3,True,True,False,True,9,4,7,3,5,1,12,6,4,5,-1,4,-1,178,0,West
11,3,3,True,True,False,True,10,4,7,4,5,1,13,6,2,5,-1,5,-1,177,0,West
10,3,3,True,True,False,True,9,4,6,4,5,1,13,6,2,5,-1,5,-1,176,0,West
9,3,2,False,True,False,True,1,1,5,4,5,1,12,6,-1,5,-1,5,-1,375,0,West
8,3,2,False,True,False,True,1,1,6,4,5,1,11,6,-1,3,-1,7,-1,374,0,West
7,3,2,False,True,False,True,1,1,5,4,5,1,12,6,-1,3,-1,8,-1,373,0,West
6,3,2,False,True,False,True,1,1,6,4,5,1,12,6,-1,1,-1,8,-1,372,0,West
6,4,1,False,False,False,True,1,1,3,1,5,1,11,6,-1,-1,-1,8,-1,571,0,North
6,4,1,False,False,False,True,1,1,3,1,5,1,12,6,-1,-1,-1,7,-1,570,0,North
6,4,1,False,False,False,True,1,1,3,1,5,1,11,6,-1,-1,-1,8,-1,569,0,North
7,4,1,False,False,False,True,1,1,3,1,5,1,12,6,-1,-1,-1,8,-1,568,0,East
7,5,1,False,False,False,True,1,1,3,1,5,1,13,6,-1,-1,-1,6,-1,567,0,North
7,6,1,False,False,False,True,1,1,3,1,5,1,12,6,-1,-1,-1,4,-1,566,0,North
8,6,1,False,False,False,True,1,1,3,1,5,1,11,6,-1,-1,-1,4,-1,565,0,East
9,6,1,False,False,False,True,1,1,3,1,5,1,12,6,-1,-1,-1,4,-1,564,0,East
