@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R8-19,29,31,33-35'

@attribute positionX numeric
@attribute positionY numeric
@attribute numGhosts numeric
@attribute alive1 {True,False}
@attribute alive2 {True,False}
@attribute alive3 {True,False}
@attribute alive4 {True,False}
@attribute nearestGhostUp {True,False}
@attribute nearestGhostDown {True,False}
@attribute nearestGhostLeft {True,False}
@attribute nearestGhostRight {True,False}
@attribute angleClosestGhost numeric
@attribute hasWallEast {True,False}
@attribute hasWallSouth {True,False}
@attribute hasWallWest {True,False}
@attribute hasWallNorth {True,False}
@attribute actualScore numeric
@attribute movement {Stop,South,East,West,North}

@data
7,6,4,True,True,True,True,False,False,False,True,0,False,False,False,True,-8,East
8,6,3,True,False,True,True,False,True,True,False,225,False,True,False,True,191,East
7,6,3,True,False,True,True,False,True,True,False,243,False,False,False,True,190,West
7,5,3,True,False,True,True,False,True,True,False,225,True,False,True,False,189,South
7,4,3,True,False,True,True,False,False,True,False,180,False,False,False,False,188,South
6,4,2,False,False,True,True,False,True,False,True,349,False,False,False,True,387,West
5,4,2,False,False,True,True,False,True,False,True,351,False,False,False,True,386,West
6,4,2,False,False,True,True,False,True,False,True,349,False,False,False,True,385,East
6,3,2,False,False,True,True,False,False,False,True,0,False,True,False,False,384,South
6,3,2,False,False,True,True,False,False,False,True,0,False,True,False,False,383,Stop
7,3,2,False,False,True,True,False,False,False,True,0,False,True,False,False,382,East
8,3,2,False,False,True,True,False,False,False,True,0,False,True,False,False,381,East
9,3,2,False,False,True,True,False,False,False,True,0,False,True,False,False,380,East
10,3,2,False,False,True,True,False,False,False,True,0,False,True,False,False,379,East
11,3,1,False,False,False,True,True,False,False,True,31,False,True,False,False,578,East
12,3,1,False,False,False,True,True,False,False,True,37,False,True,False,False,577,East
13,3,1,False,False,False,True,True,False,False,True,45,False,True,False,False,576,East
14,3,1,False,False,False,True,True,False,False,True,56,False,True,False,False,575,East
15,3,1,False,False,False,True,True,False,False,True,72,False,True,False,False,574,East
16,3,1,False,False,False,True,True,False,False,False,90,False,True,False,False,573,East
17,3,1,False,False,False,True,True,False,True,False,108,False,True,False,False,572,East
17,4,1,False,False,False,True,True,False,True,False,117,False,False,False,True,571,North
16,4,1,False,False,False,True,True,False,False,False,90,False,False,False,False,570,West
15,4,1,False,False,False,True,True,False,False,True,63,False,False,False,True,569,West
14,4,1,False,False,False,True,True,False,False,True,45,False,False,False,False,568,West
14,5,1,False,False,False,True,True,False,False,True,27,True,False,True,False,567,North
14,6,1,False,False,False,True,False,False,False,True,0,False,False,False,True,566,North
15,6,1,False,False,False,True,False,False,False,True,0,False,True,False,True,565,East
16,6,0,False,False,False,False,False,True,True,False,198,False,False,False,True,764,East
16,6,0,False,False,False,False,False,True,True,False,198,False,False,False,True,764,East
1,11,4,True,True,True,True,False,True,False,True,338,True,False,False,True,-1,Stop
1,11,4,True,True,True,True,False,True,False,True,342,True,False,False,True,-2,Stop
1,11,4,True,True,True,True,False,False,False,True,0,True,False,False,True,-3,Stop
2,11,4,True,True,True,True,False,False,False,True,0,False,True,False,True,-4,East
3,11,4,True,True,True,True,False,False,False,True,0,False,True,False,True,-5,East
4,11,4,True,True,True,True,False,False,False,True,0,False,True,False,True,-6,East
5,11,4,True,True,True,True,False,False,False,True,0,False,False,False,True,-7,East
6,11,4,True,True,True,True,False,False,False,True,0,False,False,False,True,-8,East
7,11,4,True,True,True,True,False,False,False,True,0,False,True,False,True,-9,East
8,11,3,True,True,False,True,False,True,True,False,243,False,True,False,True,190,East
9,11,3,True,True,False,True,False,True,True,False,243,False,True,False,True,189,East
10,11,3,True,True,False,True,False,True,True,False,225,False,False,False,True,188,East
10,10,3,True,True,False,True,False,True,True,False,207,True,False,False,False,187,South
10,9,3,True,True,False,True,False,False,True,False,180,False,False,False,False,186,South
9,9,3,True,True,False,True,False,True,True,False,225,False,False,False,True,185,West
8,9,3,True,True,False,True,False,True,False,False,270,False,False,False,True,184,West
7,9,3,True,True,False,True,False,True,False,True,297,False,False,False,True,183,West
7,8,3,True,True,False,True,False,True,False,True,333,False,False,False,False,182,South
7,7,3,True,True,False,True,False,False,False,True,0,False,True,False,False,181,South
8,7,3,True,True,False,True,True,False,False,True,27,False,False,False,False,180,East
9,7,3,True,True,False,True,True,False,False,True,63,False,False,False,False,179,East
10,7,3,True,True,False,True,True,False,True,False,117,False,False,True,False,178,East
10,8,3,True,True,False,True,True,False,True,False,153,False,False,True,False,177,North
10,9,3,True,True,False,True,False,False,True,False,180,False,False,False,False,176,North
9,9,2,True,False,False,True,False,True,False,True,315,False,False,False,True,375,West
8,9,2,True,False,False,True,False,True,True,False,233,False,False,False,True,374,West
8,8,2,True,False,False,True,False,True,True,False,233,False,False,False,False,373,South
8,7,2,True,False,False,True,False,True,True,False,225,False,False,False,False,372,South
8,6,2,True,False,False,True,False,True,True,False,198,True,False,False,False,371,South
8,5,2,True,False,False,True,False,False,True,False,180,False,False,False,False,370,South
7,5,2,True,False,False,True,False,False,True,False,180,False,False,False,True,369,West
6,5,2,True,False,False,True,False,True,True,False,225,False,False,False,True,368,West
5,5,2,True,False,False,True,False,True,False,False,270,False,False,False,True,367,West
5,4,2,True,False,False,True,False,True,False,False,270,False,False,False,False,366,South
5,3,1,False,False,False,True,True,False,False,True,10,False,True,False,False,565,South
5,3,1,False,False,False,True,True,False,False,True,11,False,True,False,False,564,Stop
6,3,1,False,False,False,True,True,False,False,True,6,False,True,False,False,563,East
7,3,1,False,False,False,True,True,False,False,True,14,False,True,False,False,562,East
8,3,1,False,False,False,True,True,False,False,True,8,False,True,False,False,561,East
9,3,1,False,False,False,True,True,False,False,True,18,False,True,False,False,560,East
10,3,1,False,False,False,True,True,False,False,True,27,False,True,False,False,559,East
10,4,1,False,False,False,True,True,False,False,True,14,False,False,False,False,558,North
10,5,1,False,False,False,True,False,False,False,True,0,False,False,False,False,557,North
11,5,1,False,False,False,True,False,False,False,True,0,False,False,False,True,556,East
12,5,1,False,False,False,True,False,False,False,True,0,False,True,False,True,555,East
12,5,0,False,False,False,False,False,True,True,False,200,False,True,False,True,755,West
1,11,4,True,True,True,True,False,True,False,True,338,True,False,False,True,-1,Stop
1,11,4,True,True,True,True,False,True,False,True,338,True,False,False,True,-2,Stop
2,11,4,True,True,True,True,False,True,False,True,333,False,True,False,True,-3,East
3,11,4,True,True,True,True,False,True,False,True,326,False,True,False,True,-4,East
4,11,4,True,True,True,True,False,True,False,True,315,False,True,False,True,-5,East
5,11,4,True,True,True,True,False,True,False,True,297,False,False,False,True,-6,East
6,11,4,True,True,True,True,False,True,False,False,270,False,False,False,True,-7,East
7,11,4,True,True,True,True,False,False,False,True,0,False,True,False,True,-8,East
8,11,3,True,True,False,True,False,True,True,False,225,False,True,False,True,191,East
7,11,3,True,True,False,True,False,True,True,False,243,False,True,False,True,190,West
6,11,3,True,True,False,True,False,True,False,False,270,False,False,False,True,189,West
6,10,3,True,True,False,True,False,True,False,False,270,False,False,True,False,188,South
6,9,2,True,False,False,True,False,True,False,False,270,False,False,False,False,387,South
7,9,2,True,False,False,True,False,True,True,False,256,False,False,False,True,386,East
8,9,2,True,False,False,True,False,True,True,False,243,False,False,False,True,385,East
8,8,2,True,False,False,True,False,True,True,False,236,False,False,False,False,384,South
8,7,2,True,False,False,True,False,True,True,False,225,False,False,False,False,383,South
8,6,2,True,False,False,True,False,True,True,False,207,True,False,False,False,382,South
8,5,2,True,False,False,True,False,False,True,False,180,False,False,False,False,381,South
7,5,2,True,False,False,True,False,False,True,False,180,False,False,False,True,380,West
6,5,1,False,False,False,True,True,False,False,True,7,False,False,False,True,579,West
7,5,1,False,False,False,True,True,False,False,True,8,False,False,False,True,578,East
8,5,1,False,False,False,True,True,False,False,True,9,False,False,False,False,577,East
9,5,1,False,False,False,True,True,False,False,True,11,False,False,False,False,576,East
10,5,1,False,False,False,True,True,False,False,True,14,False,False,False,False,575,East
11,5,1,False,False,False,True,True,False,False,True,18,False,False,False,True,574,East
12,5,1,False,False,False,True,True,False,False,True,27,False,True,False,True,573,East
13,5,1,False,False,False,True,True,False,False,True,45,False,False,False,True,572,East
14,5,1,False,False,False,True,True,False,False,False,90,False,False,False,False,571,East
14,6,0,False,False,False,False,False,True,True,False,201,True,False,True,False,770,North
14,6,0,False,False,False,False,False,True,True,False,201,True,False,True,False,770,North
1,18,4,True,True,True,True,False,True,False,True,294,True,False,False,True,-1,Stop
1,18,4,True,True,True,True,False,True,False,True,292,True,False,False,True,-2,Stop
1,17,4,True,True,True,True,False,True,False,True,299,True,False,True,False,-3,South
1,16,4,True,True,True,True,False,True,False,True,302,True,False,False,False,-4,South
1,15,4,True,True,True,True,False,True,False,True,302,True,False,False,False,-5,South
1,14,4,True,True,True,True,False,True,False,True,310,True,False,False,False,-6,South
1,13,4,True,True,True,True,False,True,False,True,309,True,False,True,False,-7,South
1,12,4,True,True,True,True,False,True,False,True,321,True,False,False,False,-8,South
1,11,4,True,True,True,True,False,True,False,True,323,True,False,True,False,-9,South
1,10,4,True,True,True,True,False,True,False,True,323,True,False,True,False,-10,South
1,9,4,True,True,True,True,False,True,False,True,326,True,False,True,False,-11,South
1,8,4,True,True,True,True,False,True,False,True,342,True,False,True,False,-12,South
1,7,4,True,True,True,True,True,False,False,True,18,True,False,True,False,-13,South
1,6,4,True,True,True,True,True,False,False,True,34,True,False,False,False,-14,South
2,6,4,True,True,True,True,True,False,False,True,27,False,False,False,True,-15,East
