@RELATION training_tutorial1

@ATTRIBUTE positionX NUMERIC
@ATTRIBUTE positionY NUMERIC
@ATTRIBUTE numGhosts NUMERIC
@ATTRIBUTE alive1 {True, False}
@ATTRIBUTE alive2 {True, False}
@ATTRIBUTE alive3 {True, False}
@ATTRIBUTE alive4 {True, False}
@ATTRIBUTE position1X NUMERIC
@ATTRIBUTE position1Y NUMERIC
@ATTRIBUTE position2X NUMERIC
@ATTRIBUTE position2Y NUMERIC
@ATTRIBUTE position3X NUMERIC
@ATTRIBUTE position3Y NUMERIC
@ATTRIBUTE position4X NUMERIC
@ATTRIBUTE position4Y NUMERIC
@ATTRIBUTE distance1 NUMERIC
@ATTRIBUTE distance2 NUMERIC
@ATTRIBUTE distance3 NUMERIC
@ATTRIBUTE distance4 NUMERIC
@ATTRIBUTE nearestGhostUp {True, False}
@ATTRIBUTE nearestGhostDown {True, False}
@ATTRIBUTE nearestGhostLeft {True, False}
@ATTRIBUTE nearestGhostRight {True, False}
@ATTRIBUTE angleClosestGhost NUMERIC
@ATTRIBUTE hasWallEast {True, False}
@ATTRIBUTE hasWallSouth {True, False}
@ATTRIBUTE hasWallWest {True, False}
@ATTRIBUTE hasWallNorth {True, False}
@ATTRIBUTE distanceNearestFood NUMERIC
@ATTRIBUTE actualScore NUMERIC
@ATTRIBUTE foodCount NUMERIC
@ATTRIBUTE movement {Stop, South, East, West, North}
@ATTRIBUTE nextScore NUMERIC
@ATTRIBUTE nextNumGhost NUMERIC
@ATTRIBUTE nextFoodCount NUMERIC


@data
2,5,2,False,False,True,True,1,1,3,1,11,4,8,6,-1,-1,10,7,True,False,False,True,9,False,False,True,False,3,688,16,North,687,2,16
2,6,2,False,False,True,True,1,1,3,1,12,4,8,7,-1,-1,12,7,True,False,False,True,9,False,False,False,False,2,687,16,North,686,2,16
2,7,2,False,False,True,True,1,1,3,1,12,5,8,7,-1,-1,12,6,False,False,False,True,0,False,False,False,True,3,686,16,North,685,2,16
3,7,2,False,False,True,True,1,1,3,1,12,4,9,7,-1,-1,12,6,False,False,False,True,0,False,False,False,True,2,685,16,East,684,2,16
4,7,2,False,False,True,True,1,1,3,1,12,3,9,6,-1,-1,12,6,False,True,False,True,349,False,False,False,True,1,684,16,East,783,2,15
4,6,2,False,False,True,True,1,1,3,1,11,3,9,7,-1,-1,10,6,True,False,False,True,11,False,False,False,False,2,783,15,South,782,2,15
4,7,2,False,False,True,True,1,1,3,1,11,3,8,7,-1,-1,11,4,False,False,False,True,0,False,False,False,True,2,782,15,North,781,2,15
5,7,2,False,False,True,True,1,1,3,1,11,3,8,6,-1,-1,10,4,False,True,False,True,342,False,False,False,True,1,781,15,East,780,2,15
5,6,2,False,False,True,True,1,1,3,1,12,3,8,5,-1,-1,10,4,False,True,False,True,342,False,False,True,False,2,780,15,South,779,2,15
5,5,2,False,False,True,True,1,1,3,1,11,3,8,5,-1,-1,8,3,False,False,False,True,0,False,False,False,False,1,779,15,South,778,2,15
6,5,2,False,False,True,True,1,1,3,1,11,3,8,4,-1,-1,7,3,False,True,False,True,333,False,True,False,True,1,778,15,East,877,2,14
7,5,2,False,False,True,True,1,1,3,1,12,3,8,4,-1,-1,7,2,False,True,False,True,315,False,True,False,True,1,877,14,East,976,2,13
8,5,2,False,False,True,True,1,1,3,1,12,3,9,4,-1,-1,6,2,False,True,False,True,315,False,False,False,False,1,976,13,East,1075,2,12
8,4,2,False,False,True,True,1,1,3,1,12,3,9,3,-1,-1,5,2,False,True,False,True,315,True,False,False,False,1,1075,12,South,1374,1,11
8,3,1,False,False,True,False,1,1,3,1,12,3,8,3,-1,-1,4,-1,False,False,False,True,0,False,True,False,False,1,1374,11,South,1373,1,11
8,4,1,False,False,True,False,1,1,3,1,12,4,7,1,-1,-1,4,-1,False,False,False,True,0,True,False,False,False,1,1373,11,North,1472,1,10
9,4,1,False,False,True,False,1,1,3,1,12,4,7,1,-1,-1,3,-1,False,False,False,True,0,False,False,False,False,2,1472,10,East,1471,1,10
9,5,1,False,False,True,False,1,1,3,1,12,5,7,1,-1,-1,3,-1,False,False,False,True,0,False,False,True,False,1,1471,10,North,1470,1,10
9,4,1,False,False,True,False,1,1,3,1,11,5,7,1,-1,-1,3,-1,True,False,False,True,27,False,False,False,False,2,1470,10,South,1469,1,10
9,5,1,False,False,True,False,1,1,3,1,11,6,7,1,-1,-1,3,-1,True,False,False,True,27,False,False,True,False,1,1469,10,North,1568,1,9
9,6,1,False,False,True,False,1,1,3,1,11,7,7,1,-1,-1,3,-1,True,False,False,True,27,False,False,False,False,1,1568,9,North,1567,1,9
9,7,1,False,False,True,False,1,1,3,1,12,7,7,1,-1,-1,3,-1,False,False,False,True,0,False,False,False,True,1,1567,9,North,1566,1,9
9,6,1,False,False,True,False,1,1,3,1,12,6,7,1,-1,-1,3,-1,False,False,False,True,0,False,False,False,False,1,1566,9,South,1565,1,9
9,5,1,False,False,True,False,1,1,3,1,12,5,7,1,-1,-1,3,-1,False,False,False,True,0,False,False,True,False,2,1565,9,South,1564,1,9
9,4,1,False,False,True,False,1,1,3,1,11,5,7,1,-1,-1,3,-1,True,False,False,True,27,False,False,False,False,3,1564,9,South,1563,1,9
9,5,1,False,False,True,False,1,1,3,1,11,5,7,1,-1,-1,2,-1,False,False,False,True,0,False,False,True,False,2,1563,9,North,1562,1,9
8,5,1,False,False,True,False,1,1,3,1,11,5,7,1,-1,-1,3,-1,False,False,False,True,0,False,False,False,False,1,1562,9,West,1661,1,8
8,6,1,False,False,True,False,1,1,3,1,11,6,7,1,-1,-1,3,-1,False,False,False,True,0,True,False,False,False,1,1661,8,North,1660,1,8
8,5,1,False,False,True,False,1,1,3,1,11,5,7,1,-1,-1,3,-1,False,False,False,True,0,False,False,False,False,2,1660,8,South,1659,1,8
9,5,1,False,False,True,False,1,1,3,1,11,5,7,1,-1,-1,2,-1,False,False,False,True,0,False,False,True,False,3,1659,8,East,1658,1,8
9,6,1,False,False,True,False,1,1,3,1,11,6,7,1,-1,-1,2,-1,False,False,False,True,0,False,False,False,False,2,1658,8,North,1657,1,8
9,7,1,False,False,True,False,1,1,3,1,11,7,7,1,-1,-1,2,-1,False,False,False,True,0,False,False,False,True,1,1657,8,North,1656,1,8
10,7,1,False,False,True,False,1,1,3,1,12,7,7,1,-1,-1,2,-1,False,False,False,True,0,False,False,False,True,2,1656,8,East,1655,1,8
10,6,1,False,False,True,False,1,1,3,1,12,6,7,1,-1,-1,2,-1,False,False,False,True,0,False,True,False,False,3,1655,8,South,1654,1,8
11,6,1,False,False,True,False,1,1,3,1,12,5,7,1,-1,-1,2,-1,False,True,False,True,315,False,False,False,False,4,1654,8,East,1853,0,8
11,5,0,False,False,False,False,1,1,3,1,11,5,7,1,-1,-1,-1,-1,False,True,True,False,202,True,False,False,False,5,1853,8,South,1853,0,8
11,5,0,False,False,False,False,1,1,3,1,11,5,7,1,-1,-1,-1,-1,False,True,True,False,202,True,False,False,False,5,1853,8,South,1853,0,8
5,5,4,True,True,True,True,2,3,2,7,11,4,11,7,5,5,7,8,False,True,True,False,214,False,False,False,False,1,99,18,West,198,4,17
5,4,4,True,True,True,True,2,3,2,7,11,4,11,7,4,6,6,9,False,True,True,False,198,False,False,True,False,1,198,17,South,297,4,16
5,3,4,True,True,True,True,2,3,2,7,11,4,11,7,3,7,7,10,False,False,True,False,180,False,True,False,False,1,297,16,South,296,4,16
4,3,4,True,True,True,True,2,3,2,7,11,4,11,7,2,6,8,11,False,False,True,False,180,False,True,False,False,1,296,16,West,295,4,16
3,3,4,True,True,True,True,2,3,2,7,11,4,11,7,1,5,9,12,False,False,True,False,180,False,True,False,False,2,295,16,West,494,3,16
2,3,3,False,True,True,True,2,3,2,7,11,4,11,7,-1,4,10,13,True,False,False,False,90,False,True,False,False,3,494,16,West,493,3,16
2,4,3,False,True,True,True,1,1,2,7,11,4,11,7,-1,3,9,12,True,False,False,False,90,False,False,False,False,2,493,16,North,492,3,16
2,5,3,False,True,True,True,1,1,2,7,11,4,11,7,-1,2,10,11,True,False,False,False,90,False,False,True,False,3,492,16,North,491,3,16
2,6,3,False,True,True,True,1,1,2,7,11,4,11,7,-1,1,11,10,True,False,False,False,90,False,False,False,False,2,491,16,North,690,2,16
2,7,2,False,False,True,True,1,1,2,7,11,4,11,7,-1,-1,12,9,False,False,False,True,0,False,False,False,True,3,690,16,North,689,2,16
3,7,2,False,False,True,True,1,1,3,1,11,4,11,7,-1,-1,11,8,False,False,False,True,0,False,False,False,True,2,689,16,East,688,2,16
4,7,2,False,False,True,True,1,1,3,1,11,4,11,7,-1,-1,10,7,False,False,False,True,0,False,False,False,True,1,688,16,East,787,2,15
5,7,2,False,False,True,True,1,1,3,1,11,4,11,7,-1,-1,9,6,False,False,False,True,0,False,False,False,True,1,787,15,East,886,2,14
6,7,2,False,False,True,True,1,1,3,1,11,4,11,7,-1,-1,8,5,False,False,False,True,0,False,True,False,True,1,886,14,East,985,2,13
7,7,2,False,False,True,True,1,1,3,1,11,4,11,7,-1,-1,7,4,False,False,False,True,0,False,True,False,True,1,985,13,East,1084,2,12
8,7,2,False,False,True,True,1,1,3,1,11,4,11,7,-1,-1,6,3,False,False,False,True,0,False,False,False,True,1,1084,12,East,1083,2,12
9,7,2,False,False,True,True,1,1,3,1,11,4,11,7,-1,-1,5,2,False,False,False,True,0,False,False,False,True,1,1083,12,East,1082,2,12
10,7,2,False,False,True,True,1,1,3,1,11,4,11,7,-1,-1,4,1,False,False,False,True,0,False,False,False,True,2,1082,12,East,1281,1,12
11,7,1,False,False,True,False,1,1,3,1,11,4,11,7,-1,-1,3,-1,False,True,False,False,270,False,False,False,True,3,1281,12,East,1280,1,12
11,6,1,False,False,True,False,1,1,3,1,11,4,7,1,-1,-1,2,-1,False,True,False,False,270,False,False,False,False,2,1280,12,South,1279,1,12
11,5,1,False,False,True,False,1,1,3,1,11,4,7,1,-1,-1,1,-1,False,True,False,False,270,True,False,False,False,3,1279,12,South,1478,0,12
11,4,0,False,False,False,False,1,1,3,1,11,4,7,1,-1,-1,-1,-1,False,True,True,False,197,False,False,False,False,2,1478,12,South,1478,0,12
11,4,0,False,False,False,False,1,1,3,1,11,4,7,1,-1,-1,-1,-1,False,True,True,False,197,False,False,False,False,2,1478,12,South,1478,0,12
3,5,4,True,True,True,True,4,10,12,7,15,7,15,10,6,11,14,17,True,False,False,True,79,False,False,False,False,1,99,150,North,198,4,149
3,6,4,True,True,True,True,4,11,12,6,16,7,16,10,6,9,14,17,True,False,False,True,79,False,False,False,False,1,198,149,North,297,4,148
3,7,4,True,True,True,True,3,11,11,6,16,6,16,9,4,9,14,15,True,False,False,False,90,False,False,False,False,1,297,148,North,396,4,147
3,8,4,True,True,True,True,4,11,11,7,16,6,16,9,4,9,15,14,True,False,False,True,72,True,False,False,False,1,396,147,North,495,4,146
3,9,4,True,True,True,True,3,11,11,7,15,6,16,8,2,10,15,14,True,False,False,False,90,False,False,False,False,1,495,146,North,594,4,145
3,10,4,True,True,True,True,2,11,12,7,15,5,15,8,2,12,17,14,True,False,True,False,135,False,False,False,False,1,594,145,North,893,3,144
2,10,3,False,True,True,True,2,10,12,8,14,5,15,8,-1,12,17,15,False,True,False,True,349,False,False,False,False,1,893,144,West,992,3,143
2,9,3,False,True,True,True,1,1,11,8,14,5,15,8,-1,10,16,14,False,True,False,True,354,False,True,False,False,1,992,143,South,991,3,143
3,9,3,False,True,True,True,1,1,11,8,13,5,14,8,-1,9,14,12,False,True,False,True,353,False,False,False,False,1,991,143,East,990,3,143
3,8,3,False,True,True,True,1,1,12,8,13,6,13,8,-1,9,12,10,False,False,False,True,0,True,False,False,False,1,990,143,South,1089,3,142
4,8,3,False,True,True,True,1,1,11,8,12,6,13,9,-1,7,10,10,False,False,False,True,0,False,False,True,False,1,1089,142,East,1188,3,141
4,7,3,False,True,True,True,1,1,11,7,12,7,14,9,-1,7,8,12,False,False,False,True,0,False,False,False,False,1,1188,141,South,1287,3,140
