@RELATION training_keyboard

@ATTRIBUTE positionX NUMERIC
@ATTRIBUTE positionY NUMERIC
@ATTRIBUTE numGhosts NUMERIC
@ATTRIBUTE alive1 {True, False}
@ATTRIBUTE alive2 {True, False}
@ATTRIBUTE alive3 {True, False}
@ATTRIBUTE alive4 {True, False}
@ATTRIBUTE position1X NUMERIC
@ATTRIBUTE position1Y NUMERIC
@ATTRIBUTE position2X NUMERIC
@ATTRIBUTE position2Y NUMERIC
@ATTRIBUTE position3X NUMERIC
@ATTRIBUTE position3Y NUMERIC
@ATTRIBUTE position4X NUMERIC
@ATTRIBUTE position4Y NUMERIC
@ATTRIBUTE distance1 NUMERIC
@ATTRIBUTE distance2 NUMERIC
@ATTRIBUTE distance3 NUMERIC
@ATTRIBUTE distance4 NUMERIC
@ATTRIBUTE distanceNearestFood NUMERIC
@ATTRIBUTE actualScore NUMERIC
@ATTRIBUTE foodCount NUMERIC
@ATTRIBUTE movement {Stop, South, East, West, North}
@ATTRIBUTE nextScore NUMERIC
@ATTRIBUTE nextNumGhost NUMERIC
@ATTRIBUTE nextFoodCount NUMERIC

@data
15,12,2,True,False,True,False,5,6,3,1,13,6,7,1,16,-1,8,-1,6,374,1,East,373,2,1
16,12,2,True,False,True,False,5,6,3,1,13,6,7,1,17,-1,9,-1,5,373,1,East,372,2,1
17,12,2,True,False,True,False,5,6,3,1,13,6,7,1,18,-1,10,-1,4,372,1,East,371,2,1
18,12,2,True,False,True,False,5,6,3,1,13,6,7,1,19,-1,11,-1,3,371,1,East,370,2,1
18,11,2,True,False,True,False,5,6,3,1,13,6,7,1,18,-1,10,-1,2,370,1,South,369,2,1
18,10,2,True,False,True,False,5,6,3,1,13,6,7,1,17,-1,9,-1,1,369,1,South,468,2,0
18,9,2,True,False,True,False,5,6,3,1,13,6,7,1,16,-1,8,-1,-1,468,0,South,467,2,0
18,8,2,True,False,True,False,5,6,3,1,13,6,7,1,15,-1,7,-1,-1,467,0,South,466,2,0
18,7,2,True,False,True,False,5,6,3,1,13,6,7,1,14,-1,6,-1,-1,466,0,South,465,2,0
18,6,2,True,False,True,False,5,6,3,1,13,6,7,1,13,-1,5,-1,-1,465,0,South,464,2,0
17,6,2,True,False,True,False,5,6,3,1,13,6,7,1,12,-1,4,-1,-1,464,0,West,463,2,0
16,6,2,True,False,True,False,5,6,3,1,13,6,7,1,11,-1,3,-1,-1,463,0,West,462,2,0
15,6,2,True,False,True,False,5,6,3,1,13,6,7,1,10,-1,2,-1,-1,462,0,West,461,2,0
14,6,2,True,False,True,False,5,6,3,1,13,6,7,1,9,-1,1,-1,-1,461,0,West,660,1,0
13,6,1,True,False,False,False,5,6,3,1,5,1,7,1,8,-1,-1,-1,-1,660,0,West,659,1,0
12,6,1,True,False,False,False,5,6,3,1,5,1,7,1,7,-1,-1,-1,-1,659,0,West,658,1,0
11,6,1,True,False,False,False,5,6,3,1,5,1,7,1,6,-1,-1,-1,-1,658,0,West,657,1,0
10,6,1,True,False,False,False,5,6,3,1,5,1,7,1,5,-1,-1,-1,-1,657,0,West,656,1,0
9,6,1,True,False,False,False,5,6,3,1,5,1,7,1,4,-1,-1,-1,-1,656,0,West,655,1,0
8,6,1,True,False,False,False,5,6,3,1,5,1,7,1,3,-1,-1,-1,-1,655,0,West,654,1,0
7,6,1,True,False,False,False,5,6,3,1,5,1,7,1,2,-1,-1,-1,-1,654,0,West,653,1,0
6,6,1,True,False,False,False,5,6,3,1,5,1,7,1,1,-1,-1,-1,-1,653,0,West,852,0,0
5,6,0,False,False,False,False,5,6,3,1,5,1,7,1,-1,-1,-1,-1,-1,852,0,West,852,0,0
4,12,4,True,True,True,True,9,4,10,7,20,12,22,9,13,11,16,21,2,-1,121,Stop,-2,4,121
4,12,4,True,True,True,True,9,3,11,7,21,12,22,9,14,12,17,21,2,-2,121,Stop,-3,4,121
4,12,4,True,True,True,True,9,3,11,6,21,12,22,9,14,13,17,20,2,-3,121,Stop,-4,4,121
